"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"caseD_3","800098e4","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_4","80009918","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_5","80009938","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_6","80009968","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_7","800099a4","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_8","80009ac0","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_9","80009b3c","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_a","80009bc8","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_b","80009c14","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_c","80009c9c","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_d","80009d28","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_e","80009d48","Instruction Label","switchD_800097fc","Analysis","2","0"
"caseD_f","80009e74","Instruction Label","switchD_800097fc","Analysis","32","0"
"interpolatePointsUnknown","80009e94","Function","Global","User Defined","4","0"
"BezierInterpolate","8000a00c","Function","Global","User Defined","4","0"
"FUN_8000a094","8000a094","Function","Global","Default","1","0"
"FUN_8000a0ac","8000a0ac","Function","Global","Default","2","0"
"interpolatePointsBezier_Vec2s","8000a1e8","Function","Global","User Defined","4","0"
"FUN_8000a3ec","8000a3ec","Function","Global","Default","2","0"
"FUN_8000af1c","8000af1c","Function","Global","Default","1","0"
"FUN_8000b9c8","8000b9c8","Function","Global","Default","2","0"
"updateMenuOrBackgroundUI","8000ba3c","Function","Global","User Defined","2","0"
"updateHUDRelatedUI","8000c194","Function","Global","User Defined","2","0"
"FUN_8000cc4c","8000cc4c","Function","Global","Default","3","0"
"FUN_8000cef0","8000cef0","Function","Global","Default","9","0"
"triggerDefaultHUDAction?","8000d164","Function","Global","User Defined","2","0"
"handleUIAction","8000d838","Function","Global","User Defined","1","0"
"FUN_8000d8a4","8000d8a4","Function","Global","Default","1","0"
"FUN_8000dc9c","8000dc9c","Function","Global","Default","1","0"
"FUN_8000e030","8000e030","Function","Global","Default","1","0"
"FUN_8000e2d4","8000e2d4","Function","Global","Default","1","0"
"FUN_8000e764","8000e764","Function","Global","Default","2","0"
"FUN_8000e7bc","8000e7bc","Function","Global","Default","1","0"
"SetSpriteRect","8000e900","Function","Global","User Defined","1","0"
"FUN_8000ec0c","8000ec0c","Function","Global","Default","1","0"
"AddVec2iToQuad","8000ef1c","Function","Global","User Defined","4","0"
"FUN_8000f150","8000f150","Function","Global","Default","0","0"
"FUN_8000f3e8","8000f3e8","Function","Global","Default","1","0"
"switchD","8000f428","Instruction Label","switchD_8000f428","Analysis","0","0"
"caseD_ffffffff","8000f42c","Instruction Label","switchD_8000f428","Analysis","2","0"
"caseD_4","8000f43c","Instruction Label","switchD_8000f428","Analysis","2","0"
"caseD_5","8000f44c","Instruction Label","switchD_8000f428","Analysis","2","0"
"caseD_6","8000f458","Instruction Label","switchD_8000f428","Analysis","2","0"
"caseD_b","8000f468","Instruction Label","switchD_8000f428","Analysis","2","0"
"caseD_0","8000f474","Instruction Label","switchD_8000f428","Analysis","14","0"
"caseD_1","8000f474","Instruction Label","switchD_8000f428","Analysis","0","0"
"caseD_2","8000f474","Instruction Label","switchD_8000f428","Analysis","0","0"
"caseD_3","8000f474","Instruction Label","switchD_8000f428","Analysis","0","0"
"caseD_7","8000f474","Instruction Label","switchD_8000f428","Analysis","0","0"
"caseD_8","8000f474","Instruction Label","switchD_8000f428","Analysis","0","0"
"caseD_9","8000f474","Instruction Label","switchD_8000f428","Analysis","0","0"
"caseD_a","8000f474","Instruction Label","switchD_8000f428","Analysis","0","0"
"somethingSetTexturePointer","8000f48c","Function","Global","User Defined","1","0"
"FUN_8000f4b8","8000f4b8","Function","Global","Default","1","0"
"FUN_8000f534","8000f534","Function","Global","Default","3","0"
"FUN_8000f8f4","8000f8f4","Function","Global","Default","11","0"
"text_initializeNewChannel","8000f988","Function","Global","User Defined","17","0"
"calculateTextBlockWidth","8000fa9c","Function","Global","User Defined","5","0"
"FUN_8000fd54","8000fd54","Function","Global","Default","1","0"
"FUN_8000fd78","8000fd78","Function","Global","Default","1","0"
"practiceTextRelated","8000fd9c","Function","Global","User Defined","2","0"
"text_setPtrToWhereCharsAreStored","8000fe08","Function","Global","User Defined","12","0"
"FUN_8000fe54","8000fe54","Function","Global","Default","9","0"
"setText0x2aTo0","8000fee8","Function","Global","User Defined","12","0"
"initializeTextParameters","8000ff04","Function","Global","User Defined","1","0"
"drawTransformedSprite","800100a4","Function","Global","User Defined","7","0"
"DrawText","80010498","Function","mssb","User Defined","1","0"
"caseD_0","80010788","Instruction Label","switchD_80010888","Analysis","45","0"
"caseD_4","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_13","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_14","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_15","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_16","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_17","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_18","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_1d","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_1e","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_1f","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_20","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_21","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_22","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_27","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_28","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_29","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_2a","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_2b","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_2c","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_36","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_3b","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_3c","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_3d","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_3e","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_3f","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_40","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_41","80010788","Instruction Label","switchD_80010888","Analysis","0","0"
"switchD","80010888","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_2","8001088c","Instruction Label","switchD_80010888","Analysis","2","0"
"caseD_3","800108ac","Instruction Label","switchD_80010888","Analysis","2","0"
"caseD_1","800108c8","Instruction Label","switchD_80010888","Analysis","2","0"
"caseD_5","800108e8","Instruction Label","switchD_80010888","Analysis","11","0"
"caseD_6","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_7","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_8","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_9","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_a","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_b","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_c","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_d","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_e","800108e8","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_f","80010914","Instruction Label","switchD_80010888","Analysis","5","0"
"caseD_10","80010914","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_11","80010914","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_12","80010914","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_19","80010b70","Instruction Label","switchD_80010888","Analysis","9","0"
"caseD_1a","80010b70","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_1b","80010b70","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_1c","80010b70","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_23","80010b70","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_24","80010b70","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_25","80010b70","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_26","80010b70","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_2d","80010bc0","Instruction Label","switchD_80010888","Analysis","10","0"
"caseD_2e","80010bc0","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_2f","80010bc0","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_30","80010bc0","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_31","80010bc0","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_32","80010bc0","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_33","80010bc0","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_34","80010bc0","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_35","80010bc0","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_37","80010c00","Instruction Label","switchD_80010888","Analysis","2","0"
"caseD_38","80010c1c","Instruction Label","switchD_80010888","Analysis","2","0"
"caseD_39","80010c74","Instruction Label","switchD_80010888","Analysis","2","0"
"caseD_3a","80010c80","Instruction Label","switchD_80010888","Analysis","2","0"
"caseD_42","80010c8c","Instruction Label","switchD_80010888","Analysis","10","0"
"caseD_43","80010c8c","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_44","80010c8c","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_45","80010c8c","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_46","80010c8c","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_47","80010c8c","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_48","80010c8c","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_49","80010c8c","Instruction Label","switchD_80010888","Analysis","0","0"
"caseD_4a","80010c8c","Instruction Label","switchD_80010888","Analysis","0","0"
"DrawTextOnCondition","80010f2c","Function","Global","User Defined","1","0"
"initTextRendering?","80010fa0","Function","Global","User Defined","1","0"
"FUN_80011000","80011000","Function","Global","Default","1","0"
"FUN_80011140","80011140","Function","Global","Default","1","0"
"FUN_800111b4","800111b4","Function","Global","Default","4","0"
"FUN_800111d8","800111d8","Function","Global","Default","6","0"
"animationRelated","800111fc","Function","Global","User Defined","3","0"
"FUN_80011358","80011358","Function","Global","Default","2","0"
"FUN_80011468","80011468","Function","Global","Default","0","0"
"switchD","800114dc","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_13","800114e0","Instruction Label","switchD_800114dc","Analysis","2","0"
"caseD_28","800114e8","Instruction Label","switchD_800114dc","Analysis","3","0"
"caseD_29","800114e8","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_26","800114f0","Instruction Label","switchD_800114dc","Analysis","2","0"
"caseD_12","800114fc","Instruction Label","switchD_800114dc","Analysis","2","0"
"caseD_e","80011504","Instruction Label","switchD_800114dc","Analysis","3","0"
"caseD_25","80011504","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_6","8001150c","Instruction Label","switchD_800114dc","Analysis","8","0"
"caseD_a","8001150c","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_c","8001150c","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_18","8001150c","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_19","8001150c","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_1a","8001150c","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_2a","8001150c","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_14","8001151c","Instruction Label","switchD_800114dc","Analysis","3","0"
"caseD_2b","8001151c","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_7","80011544","Instruction Label","switchD_800114dc","Analysis","31","0"
"caseD_8","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_9","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_b","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_d","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_f","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_10","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_11","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_15","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_16","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_17","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_1b","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_1c","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_1d","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_1e","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_1f","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_20","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_21","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_22","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_23","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_24","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"caseD_27","80011544","Instruction Label","switchD_800114dc","Analysis","0","0"
"FUN_80011570","80011570","Function","Global","Default","1","0"
"FUN_80011578","80011578","Function","Global","Default","9","0"
"FUN_800115c8","800115c8","Function","Global","Default","9","0"
"FUN_80011604","80011604","Function","Global","Default","2","0"
"FUN_80011640","80011640","Function","Global","Default","3","0"
"FUN_800116dc","800116dc","Function","Global","Default","1","0"
"FUN_800117cc","800117cc","Function","Global","Default","1","0"
"FUN_800118ac","800118ac","Function","Global","Default","1","0"
"FUN_8001196c","8001196c","Function","Global","Default","1","0"
"FUN_80011a60","80011a60","Function","Global","Default","3","0"
"FUN_80011b64","80011b64","Function","Global","Default","2","0"
"FUN_80011be4","80011be4","Function","Global","Default","12","0"
"FUN_80011ca8","80011ca8","Function","Global","Default","1","0"
"FUN_800126ec","800126ec","Function","Global","Default","0","0"
"LoadModel","800127f8","Function","unsure","User Defined","1","0"
"FUN_80012b90","80012b90","Function","Global","Default","1","0"
"switchD","80012c40","Instruction Label","switchD_80012c40","Analysis","0","0"
"caseD_0","80012c44","Instruction Label","switchD_80012c40","Analysis","4","0"
"caseD_3","80012c44","Instruction Label","switchD_80012c40","Analysis","0","0"
"caseD_6","80012c44","Instruction Label","switchD_80012c40","Analysis","0","0"
"caseD_1","80012cdc","Instruction Label","switchD_80012c40","Analysis","3","0"
"caseD_2","80012cdc","Instruction Label","switchD_80012c40","Analysis","0","0"
"caseD_4","80012ef0","Instruction Label","switchD_80012c40","Analysis","2","0"
"caseD_5","800130c8","Instruction Label","switchD_80012c40","Analysis","2","0"
"caseD_7","8001329c","Instruction Label","switchD_80012c40","Analysis","2","0"
"caseD_8","80013474","Instruction Label","switchD_80012c40","Analysis","2","0"
"caseD_9","80013668","Instruction Label","switchD_80012c40","Analysis","12","0"
"animateModelArmsGlovesBats","80013680","Function","Global","User Defined","5","0"
"FUN_80014204","80014204","Function","Global","Default","1","0"
"FUN_800145f8","800145f8","Function","Global","Default","1","0"
"FUN_80014990","80014990","Function","Global","Default","0","0"
"FUN_80014a18","80014a18","Function","Global","Default","1","0"
"loadSomethingFromDiskAtBeginningOfAB1","80014d4c","Function","Global","User Defined","3","0"
"loadSomethingFromDiskAtBeginningOfAB2","80014e50","Function","Global","User Defined","1","0"
"loadBatterModelFromDisk?","80014f40","Function","Global","User Defined","2","0"
"FUN_8001500c","8001500c","Function","graphics","Default","1","0"
"FUN_80015468","80015468","Function","Global","Default","1","0"
"practice_loadAllGraphics?","8001594c","Function","Global","User Defined","8","0"
"FUN_80016344","80016344","Function","Global","Default","2","0"
"FUN_80016710","80016710","Function","Global","Default","2","0"
"FUN_80016b60","80016b60","Function","Global","Default","1","0"
"FUN_80016f7c","80016f7c","Function","Global","Default","2","0"
"FUN_80017098","80017098","Function","Global","Default","5","0"
"FUN_80017340","80017340","Function","Global","Default","1","0"
"FUN_8001758c","8001758c","Function","Global","Default","1","0"
"FUN_800177b4","800177b4","Function","Global","Default","2","0"
"FUN_80017814","80017814","Function","Global","Default","2","0"
"switchD","80017c5c","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_2","80017c60","Instruction Label","switchD_80017c5c","Analysis","2","0"
"caseD_21","80017c70","Instruction Label","switchD_80017c5c","Analysis","5","0"
"caseD_22","80017c70","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_23","80017c70","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_24","80017c70","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_13","80017c80","Instruction Label","switchD_80017c5c","Analysis","2","0"
"caseD_c","80017c90","Instruction Label","switchD_80017c5c","Analysis","6","0"
"caseD_15","80017c90","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_16","80017c90","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_17","80017c90","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_2a","80017c90","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_18","80017ca0","Instruction Label","switchD_80017c5c","Analysis","4","0"
"caseD_19","80017ca0","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_1a","80017ca0","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_14","80017cb0","Instruction Label","switchD_80017c5c","Analysis","3","0"
"caseD_2b","80017cb0","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_26","80017cc0","Instruction Label","switchD_80017c5c","Analysis","2","0"
"caseD_29","80017cdc","Instruction Label","switchD_80017c5c","Analysis","2","0"
"caseD_12","80017ce8","Instruction Label","switchD_80017c5c","Analysis","3","0"
"caseD_28","80017ce8","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_e","80017cf8","Instruction Label","switchD_80017c5c","Analysis","3","0"
"caseD_25","80017cf8","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_10","80017d08","Instruction Label","switchD_80017c5c","Analysis","6","0"
"caseD_2c","80017d08","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_2d","80017d08","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_2e","80017d08","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_2f","80017d08","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_0","80017d14","Instruction Label","switchD_80017c5c","Analysis","33","0"
"caseD_1","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_3","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_4","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_5","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_6","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_7","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_8","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_9","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_a","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_b","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_d","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_f","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_11","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_1b","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_1c","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_1d","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_1e","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_1f","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_20","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"caseD_27","80017d14","Instruction Label","switchD_80017c5c","Analysis","0","0"
"FUN_80017d28","80017d28","Function","Global","Default","1","0"
"FUN_80017dbc","80017dbc","Function","Global","Default","0","0"
"switchD","80017f70","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_2","80017f74","Instruction Label","switchD_80017f70","Analysis","2","0"
"caseD_21","80017f84","Instruction Label","switchD_80017f70","Analysis","5","0"
"caseD_22","80017f84","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_23","80017f84","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_24","80017f84","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_13","80017f94","Instruction Label","switchD_80017f70","Analysis","2","0"
"caseD_14","80017fa4","Instruction Label","switchD_80017f70","Analysis","3","0"
"caseD_2b","80017fa4","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_26","80017fb4","Instruction Label","switchD_80017f70","Analysis","2","0"
"caseD_29","80017fd0","Instruction Label","switchD_80017f70","Analysis","2","0"
"caseD_12","80017fdc","Instruction Label","switchD_80017f70","Analysis","3","0"
"caseD_28","80017fdc","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_e","80017fec","Instruction Label","switchD_80017f70","Analysis","3","0"
"caseD_25","80017fec","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_10","80017ffc","Instruction Label","switchD_80017f70","Analysis","6","0"
"caseD_2c","80017ffc","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_2d","80017ffc","Instruction Label","switchD_80017f70","Analysis","0","0"
"caseD_2e","80017ffc","Instruction Label","switchD_80017f70","Analysis","0","0"
